Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
abalone-(mixed-species),105,0.76g,0.149g,0,0.104g,0.107g,85mg,301mg,6.01g,0g,0g,17.1g,0,31mg,3.19mg,250mg,2mcg,2mg
abalone-(mixed-species),105,0.76g,0.149g,0,0.104g,0.107g,85mg,301mg,6.01g,0g,0g,17.1g,0,31mg,3.19mg,250mg,2mcg,2mg
abalone-(mixed-species-cooked-fried),189,6.78g,1.646g,0,1.676g,2.741g,94mg,591mg,11.05g,0g,0,19.63g,0,37mg,3.8mg,284mg,2mcg,1.8mg
acerola-(west-indian-cherry),32,0.3g,0.068g,0,0.09g,0.082g,0mg,7mg,7.69g,1.1g,0,0.4g,0,12mg,0.2mg,146mg,38mcg,1677.6mg
acerola-juice,23,0.31g,0.069g,0,0.092g,0.084g,0mg,3mg,4.9g,0.3g,4.6g,0.41g,0,10mg,0.51mg,99mg,26mcg,1633.9mg
abiyuch,69,0.1g,0.014g,0,0,0,0,20mg,17.6g,5.3g,8.55g,1.5g,0,8mg,1.61mg,304mg,5mcg,54.1mg
acorn-flour-(full-fat),501,30.17g,3.923g,0,5.813g,19.11g,0mg,0mg,54.65g,0,0,7.49g,0,43mg,1.21mg,712mg,3mcg,0mg
adobo-fresco,226,20.9g,2.91g,0,2.044g,14.963g,0mg,17152mg,18.6g,1.3g,2.03g,2g,0,123mg,3.2mg,187mg,11mcg,5.8mg
acorn-winter-squash,40,0.1g,0.021g,0,0.042g,0.007g,0mg,3mg,10.42g,1.5g,0,0.8g,0,33mg,0.7mg,347mg,18mcg,11mg
acorn-winter-squash-(without-salt-cooked-baked),56,0.14g,0.029g,0,0.059g,0.01g,0mg,4mg,14.58g,4.4g,0,1.12g,0,44mg,0.93mg,437mg,21mcg,10.8mg
acorn-winter-squash-(without-salt-mashed-cooked-boiled),34,0.08g,0.017g,0,0.035g,0.006g,0mg,3mg,8.79g,2.6g,0,0.67g,0,26mg,0.56mg,263mg,41mcg,6.5mg
acorn-winter-squash-(with-salt-cooked-baked),56,0.14g,0.029g,0,0.059g,0.01g,0mg,240mg,14.58g,4.4g,0,1.12g,0,44mg,0.93mg,437mg,21mcg,10.8mg
acorn-winter-squash-(with-salt-mashed-cooked-boiled),34,0.08g,0.017g,0,0.035g,0.006g,0mg,239mg,8.79g,2.6g,0,0.67g,0,26mg,0.56mg,263mg,13mcg,6.5mg
acorns-nuts,387,23.86g,3.102g,0,4.596g,15.109g,0mg,0mg,40.75g,0,0,6.15g,0,41mg,0.79mg,539mg,2mcg,0mg
adzuki-beans-(mature-seeds),329,0.53g,0.191g,0,0,0,0mg,5mg,62.9g,12.7g,0,19.87g,0,66mg,4.98mg,1254mg,1mcg,0mg
agar-seaweed,26,0.03g,0.006g,0,0.01g,0.003g,0mg,9mg,6.75g,0.5g,0.28g,0.54g,0,54mg,1.86mg,226mg,0mcg,0mg
adzuki-beans-(mature-seeds-without-salt-cooked-boiled),128,0.1g,0.036g,0,0,0,0mg,8mg,24.77g,7.3g,0,7.52g,0,28mg,2mg,532mg,0mcg,0mg
adzuki-beans-(mature-seeds-sweetened-canned),237,0.03g,0.011g,0,0,0,0mg,218mg,55.01g,0,0,3.8g,0,22mg,1.13mg,119mg,0mcg,0mg
adzuki-yokan-beans-(mature-seeds),260,0.12g,0.043g,0,0,0,0mg,83mg,60.72g,0,0,3.29g,0,27mg,1.16mg,45mg,0mcg,0mg
adzuki-beans-(mature-seeds-with-salt-cooked-boiled),128,0.1g,0.036g,0,0,0,0mg,244mg,24.77g,7.3g,0,7.52g,0,28mg,2mg,532mg,0mcg,0mg
after-eight-mints-nestle-candies,358,13.7g,8.18g,0,0.52g,4.41g,0mg,12mg,76.8g,2.1g,0,2.2g,0,23mg,1.53mg,168mg,1mcg,0mg
agar-seaweed-(dried),306,0.3g,0.061g,0,0.102g,0.027g,0mg,102mg,80.88g,7.7g,2.97g,6.21g,0,625mg,21.4mg,1125mg,0mcg,0mg
air-popped-popcorn,387,4.54g,0.637g,0,2.318g,0.95g,0mg,8mg,77.78g,14.5g,0.87g,12.94g,0,7mg,3.19mg,329mg,10mcg,0mg
alcoholic-beverage-(100-proof-gin-rum-vodka-whiskey),295,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alaska-king-crab,84,0.6g,0.09g,0,0.13g,0.08g,42mg,836mg,0g,0g,0,18.29g,0,46mg,0.59mg,204mg,7mcg,7mg
alaska-king-crab-(cooked-moist-heat),97,1.54g,0.133g,0,0.536g,0.185g,53mg,1072mg,0g,0g,0,19.35g,0,59mg,0.76mg,262mg,9mcg,7.6mg
air-popped-white-popcorn,382,4.2g,0.57g,0,1.9g,1.1g,0mg,4mg,77.9g,15.1g,0,12g,0,10mg,2.66mg,301mg,1mcg,0mg
alfredo-mix-sauce,535,36.35g,13.18g,0,8.61g,13.669g,56mg,2590mg,36.52g,2g,5.4g,15.32g,0,467mg,0.94mg,254mg,54mcg,0mg
all-flavors-general-mills-berry-burst-cheerios-general-mills-cereals-ready-to-eat,405,5g,0g,0,4.75g,0g,0mg,600mg,80g,10g,33.33g,10g,5mcg,333mg,36mg,337mg,751mcg,70mg
alfalfa-seeds-(sprouted),29,0.69g,0.069g,0,0.409g,0.056g,0mg,6mg,3.78g,2.5g,0.18g,3.99g,0,32mg,0.96mg,79mg,8mcg,8.2mg
all-flavors-formulated-nuts-(without-salt-wheat-based),647,62.3g,9.37g,0,24.284g,25.722g,0mg,91mg,20.79g,5.2g,0,13.11g,0,22mg,2.6mg,320mg,0mcg,0.1mg
alcoholic-beverage-(80-proof-gin-rum-vodka-whiskey),231,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(94-proof-gin-rum-vodka-whiskey),275,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(86-proof-gin-rum-vodka-whiskey),250,0g,0g,0,0g,0g,0mg,1mg,0.1g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(90-proof-gin-rum-vodka-whiskey),263,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
allspice-ground,263,8.69g,2.55g,0,2.36g,0.66g,0mg,77mg,72.12g,21.6g,0,6.09g,0,661mg,7.06mg,1044mg,27mcg,39.2mg
all-natural-light-vanilla-breyers-ice-creams,162,4.59g,2.86g,0,0,0,15mg,71mg,25.3g,0.2g,22.78g,4.84g,0,169mg,0.06mg,0,0,1.1mg
all-natural-light-french-vanilla-breyers-ice-creams,173,5.56g,3.22g,0,0,0,53mg,73mg,26.03g,0.2g,21.11g,4.82g,0,155mg,0.21mg,0,0,0.9mg
all-natural-light-vanilla-chocolate-strawberry-breyers-ice-creams,161,4.35g,2.7g,0,0,0,14mg,69mg,26.06g,0.4g,22.47g,4.69g,0,158mg,0.31mg,0,0,1.7mg
all-natural-light-mint-chocolate-chip-breyers-ice-creams,196,7.09g,4.48g,0,0,0,15mg,67mg,28.39g,0.6g,25.38g,4.69g,0,160mg,0.52mg,0,0,1.4mg
all-natural-light-french-chocolate-breyers-ice-creams,201,7.28g,4.28g,0,0,0,41mg,75mg,29.68g,1g,24.04g,5.3g,0,158mg,0.85mg,0,0,1mg
almond-butter-nuts-(with-salt-added),633,59.1g,5.602g,0,12.402g,38.374g,0mg,450mg,21.22g,3.7g,4.9g,15.08g,0,270mg,3.7mg,758mg,0mcg,0.7mg
almond-butter-nuts-(without-salt-added),633,59.1g,5.602g,0,12.402g,38.374g,0mg,11mg,21.22g,3.7g,0,15.08g,0,270mg,3.7mg,758mg,0mcg,0.7mg
almond-vegetable-oil,884,100g,8.2g,0,17.4g,69.9g,0mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
almonds,578,50.64g,3.881g,0,12.214g,32.155g,0mg,1mg,19.74g,11.8g,4.8g,21.26g,0,248mg,4.3mg,728mg,0mcg,0mg
almond-nut-paste,458,27.74g,2.629g,0,5.821g,18.012g,0mg,9mg,47.81g,4.8g,36.25g,9g,0,172mg,1.6mg,314mg,0mcg,0.1mg
almond-joy-candy-bar-candies,479,26.93g,17.59g,0,1.18g,5.26g,4mg,142mg,59.51g,5g,48.34g,4.13g,0,64mg,1.27mg,254mg,0,0.7mg
american-cheese-(cold-pack),331,24.46g,15.355g,0,0.719g,7.165g,64mg,966mg,8.32g,0g,0,19.66g,0,497mg,0.84mg,363mg,159mcg,0mg
